timestamp,/auv25/imu/odom_estimate,/auv25/imu/raw,/auv25/sensor_packet,/cmd_vel,/thruster_output
2025-11-27 13:44:34.127,"[-270.44895745662325, 4675.526168972255, -560.0171607161245, -0.3045196144332963, -0.07259799309005877, 0.17435049545267167, 0.9335947946299294]","[0.0, 0.0, 0.0, 1.0, -0.004130168458917879, 0.07287748861380902, 0.0018652373685435584, -9.050082275390624, -0.3064578125, -3.399766357421875]","[16526, 0, 25949, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.176,"[-270.44895745662325, 4675.526168972255, -560.0171607161245, -0.3045196144332963, -0.07259799309005877, 0.17435049545267167, 0.9335947946299294]","[0.0, 0.0, 0.0, 1.0, -0.004130168458917879, 0.07287748861380902, 0.0018652373685435584, -9.050082275390624, -0.3064578125, -3.399766357421875]","[16526, 0, 25949, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.226,"[-272.5935622783373, 4691.650287996537, -562.079231097121, -0.30444776782577193, -0.07195570932551204, 0.17281361871692233, 0.933953631476065]","[0.0, 0.0, 0.0, 1.0, 0.03384073511500456, 0.058754977109122086, 0.00479632466196915, -9.107543115234375, -0.41898529052734373, -3.071760729980469]","[16526, 0, 25949, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.277,"[-272.5935622783373, 4691.650287996537, -562.079231097121, -0.30444776782577193, -0.07195570932551204, 0.17281361871692233, 0.933953631476065]","[0.0, 0.0, 0.0, 1.0, 0.03384073511500456, 0.058754977109122086, 0.00479632466196915, -9.107543115234375, -0.41898529052734373, -3.071760729980469]","[13114, 0, 28516, 0, -96, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.326,"[-274.7392980319139, 4707.746318286086, -564.1392181270419, -0.3040545812117597, -0.07185472398026778, 0.17336234982468396, 0.9339877975375936]","[0.0, 0.0, 0.0, 1.0, -0.00985911180515881, 0.05235987755982989, 0.007993874436615249, -9.176974963378905, -0.47884033203125, -3.2225954345703123]","[13114, 0, 28516, 0, -96, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.377,"[-274.7392980319139, 4707.746318286086, -564.1392181270419, -0.3040545812117597, -0.07185472398026778, 0.17336234982468396, 0.9339877975375936]","[0.0, 0.0, 0.0, 1.0, -0.00985911180515881, 0.05235987755982989, 0.007993874436615249, -9.176974963378905, -0.47884033203125, -3.2225954345703123]","[13114, 0, 28516, 0, -96, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.426,"[-276.9021456675653, 4723.935514874671, -566.2101277473321, -0.30480541514540815, -0.07207588297961949, 0.17355342453394496, 0.9336904919850495]","[0.0, 0.0, 0.0, 1.0, -0.005329249624410167, 0.07301071985441929, 0.0039969372183076245, -9.313444458007812, -0.47884033203125, -3.4931402221679684]","[13114, 0, 28516, 0, -96, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.476,"[-276.9021456675653, 4723.935514874671, -566.2101277473321, -0.30480541514540815, -0.07207588297961949, 0.17355342453394496, 0.9336904919850495]","[0.0, 0.0, 0.0, 1.0, -0.005329249624410167, 0.07301071985441929, 0.0039969372183076245, -9.313444458007812, -0.47884033203125, -3.4931402221679684]","[13114, 0, 28516, 0, -96, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.526,"[-279.0645737207573, 4740.082872026045, -568.2765640209586, -0.30466553233166466, -0.07215844362469992, 0.17386485605840954, 0.9336718289905255]","[0.0, 0.0, 0.0, 1.0, -0.006528330789902454, 0.05862174586851183, 0.0035972434964768626, -9.241618408203124, -0.45968671875, -3.2441432495117186]","[13114, 0, 28516, 0, -96, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.578,"[-279.0645737207573, 4740.082872026045, -568.2765640209586, -0.30466553233166466, -0.07215844362469992, 0.17386485605840954, 0.9336718289905255]","[0.0, 0.0, 0.0, 1.0, -0.006528330789902454, 0.05862174586851183, 0.0035972434964768626, -9.241618408203124, -0.45968671875, -3.2441432495117186]","[13355, 0, 28979, 0, -96, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
